label,text
"scam","Congratulations! You have been selected to receive $5000. Send a processing fee of $50 to claim your prize now."
"scam","Act immediately! Your account will be suspended unless you verify your details by clicking this link."
"scam","We are offering you a remote job paying $3000 a month. Please send $100 for equipment and training materials first."
"scam","You have won a lottery you did not enter. To release your winnings please provide your bank details and pay a clearance fee."
"scam","Urgent: pay a small registration fee today and start earning $500 daily working from home."
"scam","Dear beneficiary your inheritance of $2 million is ready for transfer, kindly send $200 for legal documentation."
"scam","I am a client interested in your services, I will pay you now but you must first pay a refundable deposit to activate your account."
"scam","Click here to claim your free iPhone, offer expires in 1 hour, limited slots available."
"scam","We need you to purchase gift cards and send us the codes to confirm your identity for this transaction."
"scam","Your package could not be delivered, pay a small customs fee here to release it immediately."
"scam","Congratulations you have been shortlisted, send your BVN and account pin to process your salary advance."
"scam","This is your bank, your account has unusual activity, verify now by entering your card number and pin."
"scam","Work from home and earn $1000 weekly guaranteed no experience needed just pay a one time startup fee."
"scam","Hello I am a wealthy investor and I want to send you money, just share your account details and a small fee to unlock the transfer."
"scam","Your payment is on hold, click this link and enter your login details to release it immediately."
"scam","I will hire you right away but first you need to buy a starter kit from our approved vendor using the link below."
"scam","Final notice, your subscription will be cancelled unless you confirm your card details within 24 hours."
"scam","Get rich quick investing in this guaranteed returns program, double your money in 7 days no risk."
"scam","We noticed suspicious login attempt, verify your identity now or your account will be permanently locked."
"scam","Send us a refundable security deposit and we will send you the laptop for your new remote job immediately."
"legit","Hi, thanks for applying. Can you send your portfolio and available start date so we can schedule an interview."
"legit","Your invoice for the website project has been approved, payment will be sent via bank transfer this week."
"legit","Reminder your subscription renews next month, no action needed unless you want to cancel from your account settings."
"legit","Great meeting you today, attaching the project brief we discussed, let me know if you have questions."
"legit","Your order has shipped and should arrive in 3 to 5 business days, here is your tracking number."
"legit","We would like to offer you the position, please find the offer letter attached for your review."
"legit","Thanks for the update, the design looks great, let's schedule a call to discuss next steps."
"legit","Your monthly statement is ready to view in your account dashboard, no action is required."
"legit","Following up on our call, here are the meeting notes and action items we agreed on."
"legit","Please review the attached contract and let us know if you have any questions before signing."
"legit","Your password was successfully changed, if this wasn't you please contact support through the official app."
"legit","Thanks for your submission, our team will review it and get back to you within 5 business days."
"legit","Here is the invoice for last month's work, payment terms are net 30 as usual."
"legit","Looking forward to working with you on this project, I've shared the files in the folder."
"legit","Your appointment is confirmed for Thursday at 10am, reply here if you need to reschedule."
"legit","Thanks for the quick turnaround on the logo design, the client loved it."
"legit","Just checking in on the proposal I sent last week, let me know if you have any feedback."
"legit","Your refund has been processed and should reflect in your account within 5 to 7 business days."
"legit","We're excited to have you join the team, HR will reach out with onboarding details soon."
"legit","Can we push our meeting to 3pm instead, something came up on my end."
